game,epsilon,rl_stack,rl_chip_delta,rl_vs_rule,rl_fold_rate,rl_call_rate,rl_raise_rate,actor_loss,critic_loss
1,0.2,0,-10000,-13333.3,0.667,0.0,0.333,-58.5843,900.6187
2,0.196,40000,30000,40000.0,0.213,0.149,0.574,-0.036,1275.1753
3,0.1921,0,-10000,-13333.3,0.214,0.125,0.589,-0.037,333.2285
4,0.1882,0,-10000,-13333.3,0.194,0.104,0.627,-0.0384,216.954
5,0.1845,0,-10000,-13333.3,0.185,0.087,0.652,-0.0229,329.1477
6,0.1808,0,-10000,-13333.3,0.187,0.084,0.664,-0.0209,2114.3792
7,0.1772,0,-10000,-13333.3,0.171,0.077,0.684,-0.0353,1642.2159
8,0.1736,0,-10000,-13333.3,0.169,0.076,0.686,-58.6693,884.1663
9,0.1702,0,-10000,-13333.3,0.168,0.072,0.696,-0.0548,364.3914
10,0.1667,0,-10000,-13333.3,0.167,0.076,0.697,-119.0211,3551.2373
11,0.1634,0,-10000,-13333.3,0.163,0.068,0.707,-0.0188,3393.2141
12,0.1601,0,-10000,-13333.3,0.156,0.071,0.714,-0.0908,452.3819
13,0.1569,0,-10000,-13333.3,0.154,0.074,0.716,-0.0647,549.8918
14,0.1538,0,-10000,-13333.3,0.163,0.082,0.707,-0.0288,6375.04
15,0.1507,0,-10000,-13333.3,0.16,0.086,0.706,-0.0657,449.3378
16,0.1477,0,-10000,-13333.3,0.16,0.085,0.707,-59.6167,885.892
17,0.1448,0,-10000,-13333.3,0.155,0.098,0.701,-0.3074,823.8239
18,0.1419,0,-10000,-13333.3,0.153,0.102,0.699,-0.0707,546.8175
19,0.139,0,-10000,-13333.3,0.15,0.101,0.696,-0.032,455.5112
20,0.1362,0,-10000,-13333.3,0.148,0.1,0.699,0.0185,543.9601
21,0.1335,0,-10000,-13333.3,0.162,0.092,0.693,0.0182,402.0073
22,0.1309,0,-10000,-13333.3,0.162,0.092,0.694,-60.1939,870.995
23,0.1282,0,-10000,-13333.3,0.159,0.091,0.698,0.0143,432.2765
24,0.1257,0,-10000,-13333.3,0.157,0.096,0.699,0.0036,1597.1906
25,0.1232,0,-10000,-13333.3,0.148,0.098,0.705,-0.0184,3203.0479
26,0.1207,0,-10000,-13333.3,0.147,0.098,0.706,-59.7463,868.6186
27,0.1183,0,-10000,-13333.3,0.143,0.095,0.711,-0.0332,354.4758
28,0.1159,0,-10000,-13333.3,0.141,0.093,0.718,-0.0545,348.8734
29,0.1136,0,-10000,-13333.3,0.139,0.092,0.721,-0.0239,429.4653
30,0.1113,0,-10000,-13333.3,0.144,0.086,0.712,-0.0497,316.8081
31,0.1091,40000,30000,40000.0,0.145,0.081,0.718,-0.0334,0.5796
32,0.1069,0,-10000,-13333.3,0.144,0.084,0.718,-0.4157,443.3366
33,0.1048,0,-10000,-13333.3,0.145,0.083,0.718,-0.0296,547.6794
34,0.1027,0,-10000,-13333.3,0.146,0.087,0.71,-0.0503,1236.2528
35,0.1006,0,-10000,-13333.3,0.15,0.088,0.706,-0.0262,1439.2377
36,0.0986,0,-10000,-13333.3,0.147,0.089,0.708,-0.0678,552.2967
37,0.0966,0,-10000,-13333.3,0.149,0.09,0.707,-0.0313,510.3981
38,0.0947,0,-10000,-13333.3,0.151,0.09,0.705,-0.0662,252.3263
39,0.0928,0,-10000,-13333.3,0.15,0.09,0.707,-0.021,433.4415
40,0.091,0,-10000,-13333.3,0.149,0.089,0.709,-110.4329,3602.5667
41,0.0891,0,-10000,-13333.3,0.153,0.091,0.705,-0.0539,285.6632
42,0.0874,40000,30000,40000.0,0.154,0.093,0.704,56.0478,903.7285
43,0.0856,0,-10000,-13333.3,0.154,0.091,0.706,-0.0824,2062.8425
44,0.0839,0,-10000,-13333.3,0.157,0.091,0.704,-54.6928,884.7139
45,0.0822,0,-10000,-13333.3,0.162,0.093,0.698,-49.9739,869.5012
46,0.0806,0,-10000,-13333.3,0.178,0.09,0.686,0.2239,0.1392
47,0.079,0,-10000,-13333.3,0.183,0.087,0.685,-0.1799,2016.5608
48,0.0774,0,-10000,-13333.3,0.184,0.087,0.684,-82.2753,2850.167
49,0.0758,0,-10000,-13333.3,0.183,0.087,0.684,-46.2939,872.2612
50,0.0743,0,-10000,-13333.3,0.184,0.086,0.685,-0.2023,538.0161
51,0.0728,0,-10000,-13333.3,0.185,0.085,0.686,-121.2791,7989.5942
52,0.0714,0,-10000,-13333.3,0.186,0.084,0.686,-40.1014,894.8758
53,0.0699,0,-10000,-13333.3,0.186,0.084,0.686,-41.7641,886.2972
54,0.0686,40000,30000,40000.0,0.185,0.083,0.688,42.8961,915.7462
55,0.0672,0,-10000,-13333.3,0.185,0.083,0.689,-45.6527,871.0757
56,0.0658,0,-10000,-13333.3,0.185,0.083,0.687,-0.0822,1827.7513
57,0.0645,0,-10000,-13333.3,0.193,0.081,0.684,-0.5411,80.5204
58,0.0632,0,-10000,-13333.3,0.196,0.08,0.682,-31.5737,848.525
59,0.062,0,-10000,-13333.3,0.199,0.079,0.679,-37.4391,849.2526
60,0.0607,40000,30000,40000.0,0.223,0.078,0.658,30.7468,784.7954
61,0.0595,0,-10000,-13333.3,0.222,0.077,0.66,-0.5348,545.5181
62,0.0583,0,-10000,-13333.3,0.221,0.077,0.661,-86.6214,7495.9541
63,0.0572,0,-10000,-13333.3,0.221,0.077,0.661,-0.0481,1748.3207
64,0.056,0,-10000,-13333.3,0.22,0.077,0.663,-58.16,3606.051
65,0.0549,0,-10000,-13333.3,0.22,0.076,0.664,-0.1105,520.9694
66,0.0538,0,-10000,-13333.3,0.22,0.076,0.664,-28.3839,890.5665
67,0.0527,0,-10000,-13333.3,0.219,0.076,0.665,-27.9384,893.3525
68,0.0517,0,-10000,-13333.3,0.22,0.077,0.664,-68.6008,3532.5466
69,0.0506,0,-10000,-13333.3,0.219,0.077,0.665,-28.6788,886.8764
70,0.0496,0,-10000,-13333.3,0.219,0.076,0.666,-37.7585,844.6298
71,0.0486,0,-10000,-13333.3,0.218,0.076,0.665,-0.408,475.0098
72,0.0477,40000,30000,40000.0,0.222,0.073,0.666,0.6351,0.4863
73,0.0467,0,-10000,-13333.3,0.224,0.073,0.665,-28.1726,867.5464
74,0.0458,0,-10000,-13333.3,0.224,0.072,0.665,-25.7226,902.6963
75,0.0448,0,-10000,-13333.3,0.224,0.072,0.666,-29.348,870.6965
76,0.044,0,-10000,-13333.3,0.223,0.072,0.667,-54.6886,3603.0288
77,0.0431,0,-10000,-13333.3,0.223,0.071,0.668,-50.6925,3598.8662
78,0.0422,0,-10000,-13333.3,0.222,0.071,0.669,-0.8095,541.5909
79,0.0414,0,-10000,-13333.3,0.224,0.07,0.668,-51.1235,3593.9812
80,0.0405,0,-10000,-13333.3,0.223,0.07,0.669,-0.7221,527.725
81,0.0397,0,-10000,-13333.3,0.224,0.07,0.669,-24.8764,893.0709
82,0.0389,0,-10000,-13333.3,0.223,0.069,0.669,-24.0425,893.0767
83,0.0382,0,-10000,-13333.3,0.223,0.07,0.669,-0.6109,511.6595
84,0.0374,0,-10000,-13333.3,0.223,0.07,0.67,-26.2186,882.7578
85,0.0366,0,-10000,-13333.3,0.224,0.069,0.668,-35.5941,870.0045
86,0.0359,0,-10000,-13333.3,0.23,0.068,0.664,-75.2791,8110.314
87,0.0352,0,-10000,-13333.3,0.229,0.068,0.664,-0.7074,4278.248
88,0.0345,0,-10000,-13333.3,0.229,0.068,0.664,-86.1647,3540.9324
89,0.0338,0,-10000,-13333.3,0.23,0.068,0.664,-25.7623,899.046
90,0.0331,40000,30000,40000.0,0.231,0.067,0.665,48.7791,3580.3933
91,0.0325,40000,30000,40000.0,0.231,0.067,0.665,-0.0162,5064.4258
92,0.0318,0,-10000,-13333.3,0.232,0.066,0.665,-0.8066,536.6987
93,0.0312,0,-10000,-13333.3,0.232,0.067,0.663,-25.458,902.6852
94,0.0306,0,-10000,-13333.3,0.231,0.067,0.665,-34.8235,898.004
95,0.0299,0,-10000,-13333.3,0.231,0.067,0.665,-52.3004,3602.3962
96,0.0293,0,-10000,-13333.3,0.231,0.066,0.666,-0.1929,4985.5923
97,0.0288,0,-10000,-13333.3,0.232,0.066,0.665,-25.9604,899.4461
98,0.0282,0,-10000,-13333.3,0.231,0.066,0.666,-83.096,8082.7979
99,0.0276,0,-10000,-13333.3,0.231,0.066,0.667,-24.7417,896.7967
100,0.0271,0,-10000,-13333.3,0.235,0.065,0.665,-40.1264,2006.8724
